0 processo0 1 2
0 processo1 5 7
0 processo2 3 6
0 processo3 1 1
0 processo4 4 8
0 processo5 1 2
0 processo6 2 3
0 processo7 3 5
0 processo8 3 3
0 processo9 5 8
0 processo10 3 3
0 processo11 4 6
0 processo12 2 3
0 processo13 3 4
0 processo14 3 5
0 processo15 1 2
0 processo16 5 8
0 processo17 4 5
0 processo18 1 2
0 processo19 5 8
0 processo20 1 1
0 processo21 5 8
0 processo22 3 5
0 processo23 1 2
0 processo24 1 2
0 processo25 4 5
0 processo26 5 6
0 processo27 5 5
0 processo28 1 2
0 processo29 4 6
0 processo30 2 2
0 processo31 4 7
0 processo32 4 5
0 processo33 1 1
0 processo34 3 3
0 processo35 3 6
0 processo36 3 6
0 processo37 4 4
0 processo38 3 3
0 processo39 2 4
0 processo40 2 2
0 processo41 1 2
0 processo42 4 7
0 processo43 1 1
0 processo44 4 7
0 processo45 5 5
0 processo46 2 4
0 processo47 5 5
0 processo48 1 2
0 processo49 2 3
0 processo50 1 1
0 processo51 3 4
0 processo52 4 8
0 processo53 4 6
0 processo54 1 2
0 processo55 2 4
0 processo56 2 2
0 processo57 2 3
0 processo58 2 3
0 processo59 4 4
0 processo60 3 5
0 processo61 5 10
0 processo62 5 7
0 processo63 5 7
0 processo64 4 8
0 processo65 5 6
0 processo66 1 2
0 processo67 1 1
0 processo68 5 6
0 processo69 3 5
0 processo70 5 6
0 processo71 2 2
0 processo72 1 1
0 processo73 1 2
0 processo74 5 5
0 processo75 4 5
0 processo76 2 4
0 processo77 4 8
0 processo78 1 2
0 processo79 1 1
0 processo80 2 3
0 processo81 4 4
0 processo82 3 6
0 processo83 3 4
0 processo84 3 6
0 processo85 5 5
0 processo86 5 10
0 processo87 5 9
0 processo88 2 4
0 processo89 3 3
0 processo90 3 6
0 processo91 5 5
0 processo92 3 4
0 processo93 5 7
0 processo94 2 3
0 processo95 2 2
0 processo96 2 2
0 processo97 5 9
0 processo98 2 3
0 processo99 2 3
1 processo100 4 6
1 processo101 5 11
1 processo102 3 7
1 processo103 5 6
1 processo104 3 6
1 processo105 2 3
1 processo106 5 9
1 processo107 5 10
1 processo108 3 6
1 processo109 5 8
1 processo110 3 5
1 processo111 2 5
1 processo112 1 2
1 processo113 2 5
1 processo114 1 3
1 processo115 4 8
1 processo116 1 2
1 processo117 5 10
1 processo118 2 3
1 processo119 1 3
1 processo120 3 7
1 processo121 4 9
1 processo122 5 9
1 processo123 5 8
1 processo124 2 3
1 processo125 3 4
1 processo126 3 4
1 processo127 3 4
1 processo128 1 2
1 processo129 2 3
1 processo130 3 5
1 processo131 2 4
1 processo132 4 7
1 processo133 5 11
1 processo134 5 11
1 processo135 1 2
1 processo136 5 10
1 processo137 4 6
1 processo138 5 7
1 processo139 4 8
1 processo140 3 5
1 processo141 4 6
1 processo142 2 3
1 processo143 2 4
1 processo144 4 5
1 processo145 5 9
1 processo146 5 11
1 processo147 2 5
1 processo148 4 9
1 processo149 1 3
1 processo150 3 7
1 processo151 5 9
1 processo152 1 3
1 processo153 2 5
1 processo154 3 5
1 processo155 5 8
1 processo156 3 4
1 processo157 2 3
1 processo158 3 6
1 processo159 2 4
1 processo160 4 9
1 processo161 5 8
1 processo162 1 2
1 processo163 4 5
1 processo164 1 2
1 processo165 1 2
1 processo166 2 4
1 processo167 2 3
1 processo168 1 3
1 processo169 4 7
