0 processo0 1 2
0 processo1 1 1
0 processo2 5 8
0 processo3 2 3
0 processo4 4 6
0 processo5 4 7
0 processo6 5 9
0 processo7 5 8
0 processo8 3 4
0 processo9 5 10
0 processo10 5 10
0 processo11 1 1
0 processo12 1 2
0 processo13 3 4
0 processo14 1 1
1 processo15 3 7
1 processo16 2 4
1 processo17 3 5
1 processo18 5 10
1 processo19 4 8
1 processo20 1 3
1 processo21 3 7
1 processo22 1 2
1 processo23 4 8
1 processo24 4 7
1 processo25 2 4
1 processo26 4 6
1 processo27 2 4
1 processo28 4 5
1 processo29 3 5
2 processo30 5 7
2 processo31 2 4
2 processo32 2 4
2 processo33 3 6
2 processo34 1 4
2 processo35 2 6
2 processo36 5 11
2 processo37 3 8
2 processo38 3 8
2 processo39 1 4
2 processo40 4 10
2 processo41 3 6
2 processo42 3 5
2 processo43 3 5
2 processo44 5 9
3 processo45 5 9
3 processo46 5 11
3 processo47 5 13
3 processo48 2 5
3 processo49 3 6
3 processo50 1 4
3 processo51 5 8
3 processo52 3 7
3 processo53 4 11
3 processo54 3 6
3 processo55 4 11
3 processo56 3 8
3 processo57 5 13
3 processo58 1 4
3 processo59 4 10
4 processo60 4 12
4 processo61 2 7
4 processo62 4 11
4 processo63 3 8
4 processo64 2 8
4 processo65 5 12
4 processo66 4 8
4 processo67 3 10
4 processo68 3 9
4 processo69 4 8
4 processo70 1 5
4 processo71 1 5
4 processo72 1 6
4 processo73 4 11
4 processo74 1 5
5 processo75 3 11
5 processo76 4 11
5 processo77 5 12
5 processo78 2 7
5 processo79 2 9
5 processo80 4 13
5 processo81 5 15
5 processo82 5 10
5 processo83 4 12
5 processo84 5 11
5 processo85 4 11
5 processo86 5 10
5 processo87 1 6
5 processo88 3 10
5 processo89 3 10
6 processo90 3 10
6 processo91 3 10
6 processo92 3 11
6 processo93 1 8
6 processo94 2 9
6 processo95 2 9
6 processo96 5 14
6 processo97 3 10
6 processo98 5 12
6 processo99 5 13
