0 processo0 1 2
0 processo1 5 9
0 processo2 4 5
0 processo3 1 1
0 processo4 1 2
0 processo5 5 5
0 processo6 2 4
0 processo7 1 2
0 processo8 2 4
0 processo9 1 2
0 processo10 5 9
0 processo11 1 1
0 processo12 4 4
0 processo13 3 4
0 processo14 2 4
0 processo15 2 4
0 processo16 4 4
0 processo17 1 1
0 processo18 3 5
0 processo19 3 4
1 processo20 3 5
1 processo21 5 11
1 processo22 1 2
1 processo23 5 6
1 processo24 1 3
1 processo25 4 8
1 processo26 1 3
1 processo27 5 9
1 processo28 2 5
1 processo29 3 5
1 processo30 5 10
1 processo31 4 8
1 processo32 5 7
1 processo33 5 8
1 processo34 3 5
1 processo35 2 4
1 processo36 4 8
1 processo37 3 7
1 processo38 4 7
1 processo39 4 5
2 processo40 1 3
2 processo41 3 5
2 processo42 2 4
2 processo43 3 7
2 processo44 1 4
2 processo45 5 7
2 processo46 4 7
2 processo47 5 7
2 processo48 2 5
2 processo49 5 7
2 processo50 1 4
2 processo51 5 7
2 processo52 3 7
2 processo53 5 10
2 processo54 5 9
2 processo55 1 3
2 processo56 2 5
2 processo57 3 6
2 processo58 2 5
2 processo59 4 10
3 processo60 2 5
3 processo61 1 5
3 processo62 4 10
3 processo63 2 6
3 processo64 3 7
3 processo65 5 9
3 processo66 4 9
3 processo67 3 7
3 processo68 1 5
3 processo69 1 4
3 processo70 4 9
3 processo71 5 13
3 processo72 5 12
3 processo73 1 5
3 processo74 2 7
3 processo75 2 5
3 processo76 1 5
3 processo77 4 8
3 processo78 1 5
3 processo79 4 11
4 processo80 4 12
4 processo81 2 8
4 processo82 1 6
4 processo83 2 6
4 processo84 5 13
4 processo85 4 8
4 processo86 1 5
4 processo87 4 8
4 processo88 4 9
4 processo89 3 9
4 processo90 3 10
4 processo91 4 12
4 processo92 1 6
4 processo93 4 8
4 processo94 1 6
4 processo95 2 8
4 processo96 3 7
4 processo97 3 9
4 processo98 5 13
4 processo99 5 9
