0 processo0 3 6
0 processo1 1 1
0 processo2 1 2
0 processo3 3 6
0 processo4 5 10
0 processo5 2 4
0 processo6 3 3
0 processo7 5 10
0 processo8 2 4
0 processo9 3 5
1 processo10 3 4
1 processo11 5 7
1 processo12 2 5
1 processo13 1 3
1 processo14 1 2
1 processo15 4 8
1 processo16 2 3
1 processo17 5 10
1 processo18 5 8
1 processo19 3 6
2 processo20 5 8
2 processo21 5 8
2 processo22 4 7
2 processo23 5 9
2 processo24 5 9
2 processo25 4 9
2 processo26 3 7
2 processo27 4 10
2 processo28 1 4
2 processo29 1 4
3 processo30 2 7
3 processo31 4 8
3 processo32 4 11
3 processo33 2 5
3 processo34 5 11
3 processo35 4 9
3 processo36 1 5
3 processo37 4 7
3 processo38 5 10
3 processo39 3 7
4 processo40 1 6
4 processo41 5 9
4 processo42 5 10
4 processo43 4 11
4 processo44 1 6
4 processo45 4 12
4 processo46 3 8
4 processo47 1 6
4 processo48 2 7
4 processo49 1 6
5 processo50 4 13
5 processo51 2 9
5 processo52 5 11
5 processo53 3 9
5 processo54 4 9
5 processo55 4 9
5 processo56 1 7
5 processo57 3 10
5 processo58 1 7
5 processo59 3 8
6 processo60 1 7
6 processo61 1 7
6 processo62 4 10
6 processo63 2 9
6 processo64 3 10
6 processo65 5 11
6 processo66 3 9
6 processo67 4 13
6 processo68 3 12
6 processo69 2 8
7 processo70 1 8
7 processo71 2 9
7 processo72 1 8
7 processo73 4 14
7 processo74 1 8
7 processo75 1 8
7 processo76 5 12
7 processo77 1 8
7 processo78 4 14
7 processo79 1 9
8 processo80 3 12
8 processo81 1 10
8 processo82 1 9
8 processo83 1 10
8 processo84 3 14
8 processo85 5 17
8 processo86 1 10
8 processo87 4 13
8 processo88 1 9
8 processo89 1 9
9 processo90 1 11
9 processo91 4 15
9 processo92 3 12
9 processo93 1 11
9 processo94 4 14
9 processo95 3 13
9 processo96 4 13
9 processo97 1 11
9 processo98 5 18
9 processo99 2 12
