0 processo0 1 2
0 processo1 3 4
0 processo2 3 6
0 processo3 4 5
0 processo4 3 5
0 processo5 3 5
0 processo6 5 7
0 processo7 4 5
0 processo8 5 9
0 processo9 3 5
0 processo10 4 7
0 processo11 2 4
0 processo12 5 8
0 processo13 5 6
0 processo14 5 9
0 processo15 5 6
0 processo16 1 1
0 processo17 2 3
0 processo18 2 2
0 processo19 4 8
1 processo20 2 4
1 processo21 3 5
1 processo22 2 4
1 processo23 3 6
1 processo24 3 7
1 processo25 5 6
1 processo26 5 10
1 processo27 1 3
1 processo28 3 5
1 processo29 2 4
1 processo30 4 7
1 processo31 1 3
1 processo32 1 3
1 processo33 1 2
1 processo34 4 6
1 processo35 1 2
1 processo36 1 2
1 processo37 1 2
1 processo38 5 10
1 processo39 3 6
2 processo40 5 7
2 processo41 4 7
2 processo42 2 4
2 processo43 1 4
2 processo44 5 8
2 processo45 1 4
2 processo46 1 3
2 processo47 3 8
2 processo48 4 9
2 processo49 4 10
2 processo50 5 11
2 processo51 4 10
2 processo52 5 10
2 processo53 3 6
2 processo54 5 9
2 processo55 5 7
2 processo56 1 4
2 processo57 4 8
2 processo58 3 8
2 processo59 4 6
3 processo60 3 6
3 processo61 5 9
3 processo62 4 10
3 processo63 5 9
3 processo64 3 9
3 processo65 2 7
3 processo66 3 6
3 processo67 3 9
3 processo68 4 9
3 processo69 5 8
3 processo70 4 7
3 processo71 4 8
3 processo72 4 10
3 processo73 1 4
3 processo74 1 5
3 processo75 2 7
3 processo76 3 9
3 processo77 2 5
3 processo78 3 6
3 processo79 4 9
4 processo80 1 5
4 processo81 5 10
4 processo82 3 8
4 processo83 1 6
4 processo84 1 6
4 processo85 5 9
4 processo86 1 6
4 processo87 4 8
4 processo88 5 13
4 processo89 2 6
4 processo90 5 13
4 processo91 3 9
4 processo92 5 12
4 processo93 4 8
4 processo94 3 8
4 processo95 2 8
4 processo96 1 5
4 processo97 4 8
4 processo98 1 6
4 processo99 5 9
