0 processo0 1 2
0 processo1 5 6
0 processo2 2 3
0 processo3 4 7
0 processo4 5 5
1 processo5 4 6
1 processo6 1 2
1 processo7 5 10
1 processo8 2 4
1 processo9 4 8
2 processo10 3 6
2 processo11 5 11
2 processo12 2 6
2 processo13 1 4
2 processo14 4 6
3 processo15 3 6
3 processo16 2 7
3 processo17 4 8
3 processo18 5 12
3 processo19 3 9
4 processo20 3 7
4 processo21 2 8
4 processo22 5 11
4 processo23 4 9
4 processo24 4 11
5 processo25 2 7
5 processo26 5 15
5 processo27 4 13
5 processo28 5 14
5 processo29 2 8
6 processo30 1 8
6 processo31 5 11
6 processo32 4 12
6 processo33 5 13
6 processo34 5 12
7 processo35 3 10
7 processo36 4 12
7 processo37 5 17
7 processo38 5 15
7 processo39 4 15
8 processo40 3 11
8 processo41 1 9
8 processo42 1 10
8 processo43 4 14
8 processo44 1 9
9 processo45 5 16
9 processo46 2 11
9 processo47 5 14
9 processo48 5 14
9 processo49 2 13
10 processo50 2 14
10 processo51 3 14
10 processo52 1 11
10 processo53 3 16
10 processo54 4 15
11 processo55 5 16
11 processo56 5 19
11 processo57 3 14
11 processo58 3 16
11 processo59 1 12
12 processo60 4 20
12 processo61 1 14
12 processo62 5 18
12 processo63 3 15
12 processo64 1 14
13 processo65 1 14
13 processo66 5 21
13 processo67 1 14
13 processo68 1 15
13 processo69 5 19
14 processo70 1 16
14 processo71 1 16
14 processo72 3 18
14 processo73 2 17
14 processo74 2 17
15 processo75 4 21
15 processo76 4 22
15 processo77 2 17
15 processo78 3 18
15 processo79 4 19
16 processo80 5 26
16 processo81 4 24
16 processo82 4 23
16 processo83 4 20
16 processo84 4 21
17 processo85 4 21
17 processo86 5 25
17 processo87 1 18
17 processo88 1 19
17 processo89 5 27
18 processo90 2 20
18 processo91 1 19
18 processo92 3 24
18 processo93 1 19
18 processo94 2 20
19 processo95 1 21
19 processo96 3 22
19 processo97 2 22
19 processo98 1 20
19 processo99 4 24
