0 processo0 1 2
0 processo1 5 6
0 processo2 5 8
0 processo3 5 10
0 processo4 3 3
0 processo5 4 5
0 processo6 5 9
0 processo7 3 6
0 processo8 2 4
0 processo9 1 2
1 processo10 4 9
1 processo11 5 7
1 processo12 4 8
1 processo13 4 7
1 processo14 2 3
1 processo15 3 6
1 processo16 2 4
1 processo17 3 5
1 processo18 3 4
1 processo19 1 2
2 processo20 1 4
2 processo21 4 9
2 processo22 4 7
2 processo23 5 12
2 processo24 2 5
2 processo25 4 8
2 processo26 3 6
2 processo27 4 9
2 processo28 2 5
2 processo29 1 3
3 processo30 2 6
3 processo31 3 9
3 processo32 2 6
3 processo33 3 7
3 processo34 3 6
3 processo35 2 6
3 processo36 5 9
3 processo37 1 5
3 processo38 4 8
3 processo39 2 5
4 processo40 5 13
4 processo41 5 9
4 processo42 2 8
4 processo43 3 8
4 processo44 5 13
4 processo45 3 10
4 processo46 5 11
4 processo47 5 14
4 processo48 4 9
4 processo49 5 10
5 processo50 2 8
5 processo51 2 8
5 processo52 3 11
5 processo53 2 9
5 processo54 5 12
5 processo55 5 10
5 processo56 3 8
5 processo57 4 9
5 processo58 1 6
5 processo59 4 12
6 processo60 1 7
6 processo61 5 12
6 processo62 4 12
6 processo63 5 11
6 processo64 3 12
6 processo65 5 16
6 processo66 4 13
6 processo67 2 8
6 processo68 4 11
6 processo69 5 13
7 processo70 1 8
7 processo71 4 12
7 processo72 1 9
7 processo73 1 8
7 processo74 2 11
7 processo75 5 17
7 processo76 2 9
7 processo77 3 10
7 processo78 4 15
7 processo79 3 10
8 processo80 2 11
8 processo81 2 12
8 processo82 5 18
8 processo83 1 10
8 processo84 2 12
8 processo85 4 13
8 processo86 2 11
8 processo87 5 16
8 processo88 4 12
8 processo89 4 12
9 processo90 3 12
9 processo91 3 15
9 processo92 3 13
9 processo93 3 14
9 processo94 5 16
9 processo95 3 14
9 processo96 3 14
9 processo97 4 17
9 processo98 3 12
9 processo99 5 14
