0 processo0 1 2
0 processo1 4 7
0 processo2 2 3
0 processo3 5 8
0 processo4 1 2
0 processo5 3 3
0 processo6 2 4
0 processo7 3 4
0 processo8 4 6
0 processo9 3 4
1 processo10 4 9
1 processo11 3 7
1 processo12 5 7
1 processo13 4 8
1 processo14 1 2
1 processo15 5 7
1 processo16 3 5
1 processo17 5 9
1 processo18 5 10
1 processo19 1 3
2 processo20 1 3
2 processo21 5 12
2 processo22 2 4
2 processo23 3 8
2 processo24 4 9
2 processo25 3 7
2 processo26 5 7
2 processo27 2 4
2 processo28 5 11
2 processo29 1 4
3 processo30 2 7
3 processo31 5 13
3 processo32 5 11
3 processo33 2 5
3 processo34 4 8
3 processo35 1 4
3 processo36 1 4
3 processo37 5 8
3 processo38 1 4
3 processo39 1 5
4 processo40 2 6
4 processo41 1 6
4 processo42 2 8
4 processo43 4 11
4 processo44 4 9
4 processo45 1 6
4 processo46 4 10
4 processo47 3 9
4 processo48 1 6
4 processo49 3 10
