0 processo0 2 4
0 processo1 1 2
0 processo2 5 8
0 processo3 1 2
0 processo4 2 2
0 processo5 4 4
0 processo6 2 4
0 processo7 2 2
0 processo8 5 7
0 processo9 1 1
1 processo10 5 10
1 processo11 4 5
1 processo12 3 5
1 processo13 5 8
1 processo14 4 6
1 processo15 2 4
1 processo16 2 4
1 processo17 1 3
1 processo18 4 5
1 processo19 1 2
2 processo20 4 7
2 processo21 1 4
2 processo22 4 6
2 processo23 5 7
2 processo24 4 6
2 processo25 1 4
2 processo26 5 12
2 processo27 4 7
2 processo28 3 5
2 processo29 4 6
3 processo30 3 9
3 processo31 5 13
3 processo32 2 6
3 processo33 1 4
3 processo34 4 8
3 processo35 4 10
3 processo36 1 4
3 processo37 4 10
3 processo38 5 12
3 processo39 4 9
4 processo40 4 11
4 processo41 3 9
4 processo42 1 6
4 processo43 1 5
4 processo44 5 12
4 processo45 5 14
4 processo46 2 7
4 processo47 3 7
4 processo48 3 9
4 processo49 5 12
5 processo50 2 7
5 processo51 4 13
5 processo52 4 13
5 processo53 4 13
5 processo54 2 8
5 processo55 4 13
5 processo56 4 12
5 processo57 5 10
5 processo58 3 8
5 processo59 1 7
6 processo60 5 12
6 processo61 5 14
6 processo62 4 13
6 processo63 5 12
6 processo64 5 11
6 processo65 3 11
6 processo66 5 16
6 processo67 5 13
6 processo68 3 10
6 processo69 3 12
7 processo70 5 16
7 processo71 5 14
7 processo72 3 11
7 processo73 1 8
7 processo74 4 13
7 processo75 1 9
7 processo76 1 8
7 processo77 1 9
7 processo78 5 16
7 processo79 4 13
8 processo80 3 11
8 processo81 3 12
8 processo82 3 13
8 processo83 4 12
8 processo84 4 14
8 processo85 3 12
8 processo86 2 12
8 processo87 3 14
8 processo88 5 13
8 processo89 4 15
9 processo90 2 13
9 processo91 5 18
9 processo92 5 17
9 processo93 3 13
9 processo94 3 12
9 processo95 4 14
9 processo96 2 12
9 processo97 2 11
9 processo98 5 15
9 processo99 5 18
