0 processo0 2 4
0 processo1 2 2
0 processo2 3 3
0 processo3 5 8
0 processo4 1 1
0 processo5 4 7
0 processo6 1 1
1 processo7 3 6
1 processo8 3 4
1 processo9 5 9
1 processo10 4 5
1 processo11 3 5
1 processo12 5 9
1 processo13 5 8
2 processo14 5 8
2 processo15 4 7
2 processo16 1 4
2 processo17 3 5
2 processo18 3 7
2 processo19 5 11
2 processo20 2 5
3 processo21 3 6
3 processo22 5 9
3 processo23 4 8
3 processo24 4 8
3 processo25 4 11
3 processo26 5 8
3 processo27 2 5
4 processo28 1 5
4 processo29 3 7
4 processo30 3 7
4 processo31 1 5
4 processo32 1 5
4 processo33 4 10
4 processo34 4 12
5 processo35 3 8
5 processo36 5 14
5 processo37 2 9
5 processo38 2 7
5 processo39 5 10
5 processo40 2 9
5 processo41 2 9
6 processo42 2 9
6 processo43 2 10
6 processo44 4 14
6 processo45 5 16
6 processo46 5 12
6 processo47 2 10
6 processo48 3 11
7 processo49 1 8
