0 processo0 4 8
0 processo1 3 3
0 processo2 1 1
0 processo3 2 2
0 processo4 4 8
1 processo5 1 2
1 processo6 5 11
1 processo7 1 3
1 processo8 4 6
1 processo9 5 9
2 processo10 2 6
2 processo11 4 10
2 processo12 5 8
2 processo13 1 3
2 processo14 5 10
3 processo15 2 6
3 processo16 1 5
3 processo17 1 5
3 processo18 3 9
3 processo19 2 7
4 processo20 2 7
4 processo21 5 12
4 processo22 1 5
4 processo23 3 8
4 processo24 2 7
5 processo25 1 7
5 processo26 5 12
5 processo27 1 7
5 processo28 4 10
5 processo29 2 8
6 processo30 3 11
6 processo31 2 8
6 processo32 5 16
6 processo33 3 9
6 processo34 1 7
7 processo35 3 13
7 processo36 1 9
7 processo37 5 17
7 processo38 2 11
7 processo39 4 14
8 processo40 1 10
8 processo41 3 12
8 processo42 4 15
8 processo43 5 15
8 processo44 2 10
9 processo45 5 16
9 processo46 4 15
9 processo47 3 13
9 processo48 5 17
9 processo49 5 16
10 processo50 1 11
10 processo51 1 11
10 processo52 2 12
10 processo53 3 13
10 processo54 3 16
11 processo55 2 15
11 processo56 1 12
11 processo57 5 16
11 processo58 2 14
11 processo59 2 13
12 processo60 1 13
12 processo61 1 13
12 processo62 3 16
12 processo63 1 14
12 processo64 3 16
13 processo65 4 21
13 processo66 5 20
13 processo67 5 19
13 processo68 3 16
13 processo69 4 19
14 processo70 5 19
14 processo71 2 18
14 processo72 3 18
14 processo73 4 22
14 processo74 1 16
15 processo75 4 23
15 processo76 4 23
15 processo77 3 19
15 processo78 1 16
15 processo79 5 23
16 processo80 5 26
16 processo81 1 18
16 processo82 1 17
16 processo83 2 20
16 processo84 2 20
17 processo85 3 21
17 processo86 1 18
17 processo87 3 22
17 processo88 5 26
17 processo89 3 23
18 processo90 3 21
18 processo91 5 23
18 processo92 5 23
18 processo93 5 25
18 processo94 2 20
19 processo95 2 21
19 processo96 4 26
19 processo97 5 29
19 processo98 1 20
19 processo99 5 29
