0 processo0 5 10
0 processo1 2 4
0 processo2 3 3
0 processo3 3 4
0 processo4 4 5
1 processo5 2 4
1 processo6 2 5
1 processo7 1 3
1 processo8 1 2
1 processo9 4 6
2 processo10 3 5
2 processo11 1 3
2 processo12 5 7
2 processo13 1 3
2 processo14 1 4
3 processo15 5 9
3 processo16 2 7
3 processo17 2 6
3 processo18 1 4
3 processo19 2 5
4 processo20 4 12
4 processo21 1 6
4 processo22 2 7
4 processo23 2 7
4 processo24 5 10
5 processo25 5 12
5 processo26 5 11
5 processo27 2 7
5 processo28 2 9
5 processo29 5 12
6 processo30 4 10
6 processo31 3 9
6 processo32 2 8
6 processo33 2 10
6 processo34 5 11
7 processo35 1 9
7 processo36 1 9
7 processo37 5 15
7 processo38 4 12
7 processo39 1 8
8 processo40 3 11
8 processo41 4 12
8 processo42 1 9
8 processo43 4 13
8 processo44 1 9
9 processo45 5 16
9 processo46 4 15
9 processo47 1 10
9 processo48 2 13
9 processo49 5 14
10 processo50 2 14
10 processo51 2 13
10 processo52 1 11
10 processo53 5 20
10 processo54 1 12
11 processo55 3 15
11 processo56 3 15
11 processo57 3 14
11 processo58 5 16
11 processo59 4 17
12 processo60 4 18
12 processo61 3 15
12 processo62 4 16
12 processo63 5 19
12 processo64 3 16
13 processo65 1 14
13 processo66 5 19
13 processo67 2 15
13 processo68 3 18
13 processo69 2 17
14 processo70 3 19
14 processo71 5 22
14 processo72 4 21
14 processo73 2 17
14 processo74 4 18
15 processo75 4 20
15 processo76 1 16
15 processo77 2 17
15 processo78 5 21
15 processo79 3 20
16 processo80 1 17
16 processo81 5 26
16 processo82 2 20
16 processo83 2 18
16 processo84 5 25
17 processo85 5 26
17 processo86 1 18
17 processo87 4 22
17 processo88 2 20
17 processo89 2 20
18 processo90 3 23
18 processo91 3 23
18 processo92 3 22
18 processo93 1 19
18 processo94 5 26
19 processo95 2 21
19 processo96 1 21
19 processo97 5 26
19 processo98 2 22
19 processo99 4 23
