0 processo0 2 4
0 processo1 4 7
0 processo2 4 4
0 processo3 5 8
0 processo4 4 8
0 processo5 5 8
0 processo6 3 6
0 processo7 3 4
0 processo8 2 4
0 processo9 5 8
1 processo10 1 3
1 processo11 5 10
1 processo12 4 8
1 processo13 3 6
1 processo14 1 3
1 processo15 5 6
1 processo16 1 3
1 processo17 5 10
1 processo18 5 7
1 processo19 5 9
2 processo20 3 7
2 processo21 5 11
2 processo22 1 4
2 processo23 3 6
2 processo24 2 6
2 processo25 4 10
2 processo26 5 10
2 processo27 2 6
2 processo28 1 4
2 processo29 4 8
3 processo30 3 9
3 processo31 1 4
3 processo32 5 11
3 processo33 5 8
3 processo34 5 9
3 processo35 2 7
3 processo36 2 7
3 processo37 1 5
3 processo38 3 6
3 processo39 5 12
4 processo40 5 10
4 processo41 4 10
4 processo42 1 5
4 processo43 3 7
4 processo44 2 6
4 processo45 5 11
4 processo46 2 8
4 processo47 2 8
4 processo48 1 5
4 processo49 4 11
