0 processo0 1 2
0 processo1 2 3
0 processo2 4 5
0 processo3 2 2
0 processo4 4 6
0 processo5 5 7
0 processo6 5 7
0 processo7 5 6
0 processo8 1 1
0 processo9 5 5
1 processo10 3 7
1 processo11 4 9
1 processo12 4 9
1 processo13 4 7
1 processo14 1 2
1 processo15 1 2
1 processo16 1 3
1 processo17 4 5
1 processo18 2 3
1 processo19 4 7
2 processo20 1 3
2 processo21 1 4
2 processo22 1 3
2 processo23 3 7
2 processo24 2 5
2 processo25 3 7
2 processo26 3 7
2 processo27 3 5
2 processo28 4 8
2 processo29 4 7
3 processo30 4 7
3 processo31 5 12
3 processo32 5 8
3 processo33 3 6
3 processo34 1 4
3 processo35 4 10
3 processo36 3 6
3 processo37 5 9
3 processo38 4 10
3 processo39 1 5
4 processo40 3 10
4 processo41 4 11
4 processo42 3 10
4 processo43 4 9
4 processo44 5 10
4 processo45 4 10
4 processo46 5 10
4 processo47 1 6
4 processo48 3 10
4 processo49 5 11
